storage_class,file_size_mb,upload_time_mean_s,download_time_mean_s,upload_throughput_mbps,download_throughput_mbps,ttfb_mean_ms,upload_download_ratio,total_cost_usd,cost_per_gb_usd,cost_efficiency_mbps_per_cent
GLACIER_IR,1.0,0.2329,0.0549,4.2941,18.2303,46.1729,4.2455,0.0001,0.1311,3354187.8924
GLACIER_IR,10.0,0.6892,0.1529,14.5104,65.3908,36.994,4.5065,0.0009,0.0942,1576855.2533
GLACIER_IR,100.0,1.4212,2.2521,70.3637,44.4033,44.1935,0.6311,0.0088,0.0905,795781.8162
GLACIER_IR,1000.0,8.8819,18.1754,112.5888,55.0193,147.725,0.4887,0.0881,0.0902,127853.4911
INTELLIGENT_TIERING,1.0,0.2317,0.0694,4.3156,14.4,38.9252,3.3367,0.0001,0.0989,4470307.7806
INTELLIGENT_TIERING,10.0,0.3174,0.1555,31.5073,64.3101,39.6261,2.0411,0.0009,0.0916,3523155.0743
INTELLIGENT_TIERING,100.0,1.141,2.3844,87.6394,41.9396,46.459,0.4785,0.0089,0.0908,987838.62
INTELLIGENT_TIERING,1000.0,10.4066,17.397,96.0924,57.4813,73.3449,0.5982,0.0886,0.0908,108398.6849
STANDARD,1.0,0.1595,0.0565,6.2678,17.7041,48.1249,2.8246,0.0001,0.0963,6665082.2244
STANDARD,10.0,0.3123,0.1417,32.022,70.5576,37.1635,2.2034,0.0009,0.0913,3590745.408
STANDARD,100.0,2.6145,2.0909,38.2484,47.8267,48.9357,1.2504,0.0089,0.0908,431243.4966
STANDARD,1000.0,9.3773,18.1213,106.6405,55.1838,127.9612,0.5175,0.0886,0.0908,120300.9995
